Fecha_extraccion;Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo venta;Rem;Horario;Tipo_servicio
01/08/2020;MADRID;PINTO                    ;28320;CALLE PABLO PICASSO, SN;N;23/07/2020 10:03;1,068;E.LECLERC;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28054;CALLE CALDERILLA, 1;I;29/07/2020 11:10;1,068;E.LECLERC;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ARANJUEZ                 ;28300;PASEO DELEITE (DEL), 13;D;01/08/2020 12:27;1,068;E.LECLERC;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;VALDEMORO                ;28340;AVENIDA ANDALUCIA (DE), 118;D;01/08/2020 14:33;1,068;E. LECLERC;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;PARLA                    ;28980;CALLE NANTES, 119;N;23/07/2020 10:04;1,068;E.LECLERC;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28044;CALLE MUGUET, 12;D;27/07/2020 17:51;1,068;ION +;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;VALMOR-ROMPECUBAS        ;28340;CALLE NARCISO MONTURIOL, 30;D;01/08/2020 14:32;1,068;E-LECLERC;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCALA DE HENARES        ;28805;C.C. LA DEHESA, AUTOVIA MADRID-BARCELONA km 34,0;N;27/07/2020 09:48;1,069;ALCAMPO;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28031;CARRETERA N-III KM. 11,8;N;27/07/2020 18:26;1,069;GHC;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MORALEJA DE ENMEDIO      ;28950;CALLE ROBLE, 6;D;30/07/2020 11:20;1,069;MORAFUEL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ARGANDA                  ;28500;CAMINO SAN MARTIN DE LA VEGA, 8;D;01/08/2020 10:53;1,079;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;VALDEMORO                ;28340;AVENIDA MADRID (DE), 7;D;27/07/2020 12:09;1,079;LCH LOW COST;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ARGANDA                  ;28500;AVENIDA MADRID (DE), SN;D;31/07/2020 14:00;1,079;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ARGANDA                  ;28500;AVENIDA MADRID (DE), 66;D;31/07/2020 16:30;1,079;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;VALDEMORO                ;28340;AVENIDA MADRID (DE), 6;N;31/07/2020 14:25;1,079;GALP;P;OM;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;PARLA                    ;28980;AVENIDA RONDA (DE), S/N;I;31/07/2020 14:00;1,079;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ARGANDA                  ;28500;CAMINO CAMINO DE SAN MARTÍN DE LA VEGA A ARGANDA, 2;N;01/08/2020 10:53;1,079;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;HUMANES DE MADRID        ;28970;CALLE TENERIFE (DE), 2;D;31/07/2020 13:02;1,079;LUACENTER;P;dm;L-D: 06:00-23:59;L-D: 06:00-23:59 (A)
01/08/2020;MADRID;ARGANDA                  ;28500;AVENIDA FINANZAUTO (DE), 2;N;27/07/2020 11:49;1,079;DELFIOIL;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
01/08/2020;MADRID;HUMANES DE MADRID        ;28970;AVENIDA FUENLABRADA, 110;N;31/07/2020 14:00;1,079;SHELL;P;OM;L-D: 24H;"L-V: 00:00-08:00 (D), 08:00-16:00 (P), 16:00-23:59 (D); S-D: 24H (D)"
01/08/2020;MADRID;TORREJON DE ARDOZ        ;28850;AVENIDA SOL, 50;D;27/07/2020 13:17;1,079;GASEXPRESS;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28052;CALLE PIROTECNIA, 2;D;31/07/2020 16:30;1,079;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;MOSTOLES                 ;28938;CALLE ALFONSO XII, 20;D;01/08/2020 10:53;1,087;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28000;CALLE JOSE PAULETE, ;N;27/07/2020 09:58;1,089;ALCAMPO;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;PARLA                    ;28980;CALLE TOLEDO CV VIA DE RONDA, SN;D;01/08/2020 10:53;1,089;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28945;CALLE CONSTITUCION, 81;D;01/08/2020 10:53;1,089;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28947;AVENIDA DE LA CANTUEÑA, 8;D;31/07/2020 14:00;1,089;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;RIVAS-VACIAMADRID        ;28522;CALLE FUNDICION, 19;I;01/08/2020 10:53;1,089;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;RIVAS-VACIAMADRID        ;28522;CALLE CINCEL (DEL), 2;D;31/07/2020 14:00;1,089;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28946;CALLE CONSTITUCION (DE LA), 100;D;31/07/2020 14:00;1,089;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;RIVAS-VACIAMADRID        ;28522;CALLE CINCEL (DEL), S;D;01/08/2020 10:53;1,089;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;COLLADO VILLALBA         ;28400;AVENIDA JUAN CARLOS I, 24;D;31/07/2020 14:00;1,089;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCALA DE HENARES        ;28806;CALLE ISAAC NEWTON, 155;I;31/07/2020 14:00;1,089;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCALA DE HENARES        ;28801;CARRETERA DAGANZO KM. 3;D;27/07/2020 13:05;1,089;GASEXPRESS;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCALA DE HENARES        ;28805;AVENIDA DE MADRID, 60;D;31/07/2020 16:30;1,089;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;MOSTOLES                 ;28938;CALLE E, 7;N;27/07/2020 12:03;1,089;MOVILOIL;P;dm;L-D: 06:30-22:30;L-D: 06:30-22:30 (P)
01/08/2020;MADRID;CASABLANCA               ;28850;CALLE MARIO VARGAS LLOSA, 4;D;27/07/2020 09:55;1,089;FAST FUEL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;PARLA                    ;28980;CALLE REAL, 125;D;01/08/2020 10:53;1,089;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;RIVAS-VACIAMADRID        ;28522;AVENIDA PABLO IGLESIAS (DE), 78;N;01/08/2020 10:53;1,089;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MECO                     ;28880;CAMINO DEL OLIVO, 1;D;31/07/2020 16:30;1,089;PLENOIL;P;dm;"L-V: 07:00-21:45; S-D: 09:00-21:00";"L-V: 07:00-21:45 (A); S-D: 09:00-21:00 (A)"
01/08/2020;MADRID;COLLADO VILLALBA         ;28400;CALLE CALLE POLÍGONO 5, 20;D;31/07/2020 16:30;1,089;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;ALCALA DE HENARES        ;28806;CARRETERA DAGANZO KM. 5;D;01/08/2020 10:53;1,089;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;GUADARRAMA               ;28440;PASEO MOLINO DEL REY, 39;D;31/07/2020 16:30;1,089;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;MADRID                   ;28042;CALLE MEDINA DE POMAR, 22;D;22/07/2020 12:01;1,095;LCT EXPRESS;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28021;CALLE VALLE DE TOBALINA, 24;D;01/08/2020 10:53;1,096;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28000;AVENIDA PRINCESA JUANA DE AUSTRIA, 91;I;30/07/2020 15:11;1,097;OIL A42 A-42 KM 9,8  DIR. MADRID;P;dm;"L-V: 05:30-22:30; S: 07:00-15:00";"L-V: 05:30-22:30 (A); S: 07:00-15:00 (A)"
01/08/2020;MADRID;VALDEMORO                ;28340;RONDA COMUNIDADES (DE LAS), 107;N;27/07/2020 20:55;1,098;LAS PALMERAS;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28021;AVENIDA REAL DE PINTO, 156;D;28/07/2020 14:46;1,098;LOW COST REPOST;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;PARLA                    ;28980;CARRETERA PINTO-PARLA KM. 1;N;30/07/2020 14:50;1,099;ATENOIL;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
01/08/2020;MADRID;ARGANDA                  ;28500;AVENIDA DE MADRID, 126;I;31/07/2020 23:59;1,099;ATENOIL;P;dm;L-D: 06:00-00:00;L-D: 06:00-00:00 (A)
01/08/2020;MADRID;MADRID                   ;28032;CARRETERA VICALVARO A ESTACION DE O`DONNELL KM. 22;D;01/08/2020 10:53;1,099;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCORCON                 ;28095;CALLE PARAGUAY ESQUINA AVENIDA DE AMERICA, SN;N;31/07/2020 14:00;1,099;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;GETAFE                   ;28906;CALLE FRANKLIN, 1;I;01/08/2020 10:53;1,099;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALGETE                   ;28110;CALLE PELAYA (DE LA), 1;D;01/08/2020 10:53;1,099;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCALA DE HENARES        ;28805;VÍA COMPLUTENSE, 105;N;31/07/2020 14:00;1,099;SHELL;P;OM;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;NAVALCARNERO             ;28600;CALLE CAMINO DE BASTOS, 6;N;25/07/2020 21:26;1,099;MAXPETROL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;GETAFE                   ;28909;CALLE HERREROS, 1;I;31/07/2020 14:00;1,099;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;TORRES DE LA ALAMEDA     ;28813;CALLE BRUSELAS, 4;D;27/07/2020 09:37;1,099;GREEN GAS;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;TORREJON DE ARDOZ        ;28850;CALLE SOLANA, 56;D;31/07/2020 12:14;1,099;STORE FUEL ;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MOSTOLES                 ;28935;CALLE JULIO CERVERA, 21;N;27/07/2020 15:08;1,099;AVIA;P;dm;"L-V: 08:00-20:00; S: 08:30-14:00; D: 09:00-13:00";"L-V: 08:00-20:00 (A); S: 08:30-14:00 (A); D: 09:00-13:00 (A)"
01/08/2020;MADRID;TRES CANTOS              ;28760;AVENIDA INDUSTRIA (DE LA), 52;D;31/07/2020 16:30;1,107;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;COSLADA                  ;28820;AVENIDA JARAMA (DEL), 17;D;01/08/2020 10:53;1,109;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MOSTOLES                 ;28933;CALLE FRAGUA, 16;D;01/08/2020 10:53;1,109;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;VALDEMORO                ;28340;AVENIDA ANDALUCIA DE, 519;D;27/07/2020 09:53;1,109;SUPER GASOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FUENLABRADA              ;28947;CARRETERA M-506 KM. 21;I;27/07/2020 13:31;1,109;GASOLOWCOST;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;RIVAS-VACIAMADRID        ;28522;CALLE TURBINA (DE LA), 2;D;27/07/2020 07:38;1,109;CAB;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
01/08/2020;MADRID;RIVAS-VACIAMADRID        ;28522;CALLE CARRETILLA (DE LA), 23;N;27/07/2020 17:55;1,109;Q8;P;dm;L-D: 09:00-22:00;L-D: 09:00-22:00 (A)
01/08/2020;MADRID;MADRID                   ;28054;CALLE HILARIO HERRANZ ESTABLOS, 20;D;20/07/2020 14:41;1,109;LOW COST REPOST;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;COSLADA                  ;28820;AVENIDA SAN PABLO, 29;D;31/07/2020 16:30;1,109;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;MADRID                   ;28031;CALLE G, 2;D;01/08/2020 10:53;1,109;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALGETE                   ;28110;CALLE MAYOR, 63;D;31/07/2020 14:00;1,109;SHELL;P;OM;L-D: 24H;"L-V: 00:00-07:00 (D), 07:00-15:00 (P), 15:00-23:59 (D); S-D: 24H (D)"
01/08/2020;MADRID;TORREJON DE ARDOZ        ;28850;CARRETERA LOECHES-AJALVIR, KM. 12,500;I;23/07/2020 13:22;1,115;ALCAMPO;P;dm;"L-S: 06:00-00:30; D: 08:00-00:30";"L-S: 06:00-00:30 (A); D: 08:00-00:30 (A)"
01/08/2020;MADRID;MADRID                   ;28041;CARRETERA CARABANCHEL A VILLAVERDE KM. 89;D;01/08/2020 10:53;1,117;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;SAN LORENZO DE EL ESCORIAL;28200;CARRETERA GUADARRAMA KM. 57;D;31/07/2020 16:30;1,117;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;COBEÑA                   ;28863;CARRETERA M-103 KM. 6,207;D;30/07/2020 14:50;1,119;ATENOIL;P;dm;L-D: 06:00-00:00;L-D: 06:00-00:00 (A)
01/08/2020;MADRID;BASE AEREA               ;28850;CARRETERA DE LA BASE KM. S/N;N;01/08/2020 08:14;1,119;LAVAPLUS;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;TORREJON DE ARDOZ        ;28850;POLIGONO CASABLANCA C/JACINTO BENAVENTE, 6;N;31/07/2020 13:30;1,119;SHELL;P;OM;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;NIEVES (LAS)             ;28935;AVENIDA DE LAS NIEVES, 5;N;27/07/2020 11:06;1,119;OLANCA;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;SAN SEBASTIAN DE LOS REYES;28700;AVENIDA TENERIFE, 10;D;01/08/2020 10:53;1,119;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;LEGANES                  ;28917;CALLE VIZCAYA, 17;I;31/07/2020 14:00;1,119;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28041;CALLE EDUARDO BARREIROS, 114;N;31/07/2020 10:40;1,119;SUPECO;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;LEGANES                  ;28914;CALLE REY PASTOR, 16;D;01/08/2020 10:53;1,119;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCOBENDAS               ;28108;CARRETERA FUENCARRAL KM. 100;D;27/07/2020 11:03;1,119;COMBUS;P;dm;L-V: 08:00-19:00;L-V: 08:00-19:00 (A)
01/08/2020;MADRID;VILLALBILLA              ;28810;CALLE SEVERO OCHOA, 48;I;27/07/2020 09:38;1,119;FAST FUEL;P;dm;L-D: 24H;"L-S: 24H (A); D: 24H (D)"
01/08/2020;MADRID;MAJADAHONDA              ;28220;CALLE CEREZA, 4;D;01/08/2020 10:53;1,119;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;NAVALCARNERO             ;28600;CALLE MINA DEL COTORRO (DE LA), S/N;D;01/08/2020 10:53;1,127;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28052;CARRETERA CARRETERA VICALVARO-RIVAS KM. 3,600;D;29/07/2020 09:48;1,129;DST ;A;dm;"L-V: 07:00-21:00; S: 09:00-15:00";"L-V: 07:00-21:00 (A); S: 09:00-15:00 (A)"
01/08/2020;MADRID;MADRID                   ;28052;CARRETERA VICALVARO KM. 3,6;I;29/07/2020 09:46;1,129;DST;A;dm;"L-V: 08:00-19:00; S: 09:00-14:00";"L-V: 08:00-19:00 (A); S: 09:00-14:00 (A)"
01/08/2020;MADRID;TORREJON DE ARDOZ        ;28850;CALLE SOLANA DE LA, 17;N;31/07/2020 12:15;1,129;PETROKAL;P;dm;"L-S: 06:00-23:00; D: 08:00-22:00";"L-S: 06:00-23:00 (A); D: 08:00-22:00 (A)"
01/08/2020;MADRID;ARROYOMOLINOS            ;28939;CALLE FRESADORES (DE), 7;N;01/08/2020 10:53;1,129;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28041;AVENIDA OROVILLA, 22;D;01/08/2020 10:53;1,129;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;SAN SEBASTIAN DE LOS REYES;28700;PASEO EUROPA, 22;D;01/08/2020 10:53;1,129;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MEJORADA DEL CAMPO       ;28840;CALLE PORTUGAL, 30;I;31/07/2020 14:00;1,129;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;COLLADO VILLALBA         ;28400;CALLE ESCOFINA, 3;N;27/07/2020 20:55;1,129;ZEROGAS;P;dm;"L-V: 07:00-23:00; S-D: 09:00-23:00";"L-V: 07:00-23:00 (A); S-D: 09:00-23:00 (A)"
01/08/2020;MADRID;NAVALCARNERO             ;28600;CALLE ZACARIAS (DE), 20;D;20/07/2020 14:58;1,129;CHEAPOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28000;AVENIDA LOS ROSALES, 15;D;31/07/2020 16:30;1,129;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
01/08/2020;MADRID;MADRID                   ;28031;CARRETERA DE VILLAVERDE A VALLECAS KM. 269;D;31/07/2020 13:30;1,129;SHELL;P;OM;L-D: 24H;"L-V: 00:00-09:00 (D), 09:00-14:00 (P), 14:00-16:00 (D), 16:00-18:00 (P), 18:00-23:59 (D); S: 00:00-09:00 (D), 09:00-14:00 (P), 14:00-23:59 (D); D: 24H (D)"
01/08/2020;MADRID;LEGANES                  ;28914;CALLE CARLOS SAINZ, S/N;D;01/08/2020 00:00;1,129;CEPSA CIUDAD DEL AUTOMÓVIL 365;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28000;CALLE GUADALCANAL, 39;D;01/08/2020 00:00;1,129;BP GUADALCANAL 365;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;VILLAREJO DE SALVANES    ;28590;AVENIDA JUAN CARLOS I REY DE ESPAÑA, 3;N;31/07/2020 14:25;1,129;GALP;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
01/08/2020;MADRID;LEGANES                  ;28914;CALLE SEVERO OCHOA ESQUINA CALLE JULIO PALACIOS, S/N;N;31/07/2020 14:00;1,129;SHELL;P;OM;"L-S: 08:00-21:30; D: 09:00-15:00";"L-S: 08:00-21:30 (A); D: 09:00-15:00 (A)"
01/08/2020;MADRID;MADRID                   ;28031;CALLE GUADALCANAL, 36;D;01/08/2020 00:00;1,129;SHELL ATALAYUELA 365;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;COSLADA                  ;28821;CALLE RIOJA, 23;D;01/08/2020 00:00;1,136;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;COSLADA                  ;28821;CALLE RIOJA, 20;I;01/08/2020 00:00;1,136;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28033;AVENIDA SAN LUIS, 75;I;01/08/2020 00:00;1,136;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ARANJUEZ                 ;28300;AUTOVIA N-IV KM. 48,700;D;01/08/2020 00:00;1,136;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;MADRID                   ;28007;CALLE CAVANILLES, 58;D;01/08/2020 00:00;1,136;CEPSA;P;OM;"L-S: 07:30-21:00; D: 09:00-15:00";"L-S: 07:30-21:00 (A); D: 09:00-15:00 (A)"
01/08/2020;MADRID;MADRID                   ;28017;CALLE SANTA GENOVEVA, 26;D;01/08/2020 00:00;1,136;CEPSA;P;OM;L-S: 07:00-21:00;L-S: 07:00-21:00 (A)
01/08/2020;MADRID;MADRID                   ;28028;AVENIDA DE LOS TOREROS, S/N;D;01/08/2020 00:00;1,136;CEPSA;P;OM;"L-S: 07:00-21:00; D: 9:00-14:00";"L-S: 07:00-21:00 (A); D: 9:00-14:00 (A)"
01/08/2020;MADRID;RASCAFRIA                ;28740;AVENIDA DEL VALLE, 39;D;01/08/2020 00:00;1,136;CEPSA;P;OM;L: 07:00-23:00;L: 07:00-23:00 (A)
01/08/2020;MADRID;MOSTOLES                 ;28935;CARRETERA NACIONAL VKM 19 KM. ;N;31/07/2020 10:40;1,139;CARREFOUR;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;VILLALBILLA              ;28810;CARRETERA M-300 KM. 8,1;D;01/08/2020 20:45;1,139;GALP;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
01/08/2020;MADRID;COBEÑA                   ;28863;AVENIDA RIO DUERO, 1;N;01/08/2020 20:45;1,139;GALP;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
01/08/2020;MADRID;ALCOBENDAS               ;28108;AVENIDA OLIMPICA, 9;N;31/07/2020 04:05;1,139;ALCAMPO;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;FRAILES (LOS)            ;28814;POLIGONO LOS FRAILES, 133;D;27/07/2020 17:59;1,139;GASOLEOS DAGANZO;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;SAN SEBASTIAN DE LOS REYES;28700;AVENIDA FUENTE NUEVA, 18;D;31/07/2020 14:00;1,139;PETROPRIX;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCALA DE HENARES        ;28801;CALLE MEJICO, 17;D;27/07/2020 17:59;1,139;AVIA;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCOBENDAS               ;28100;CALLE VALGRANDE, 30;N;01/08/2020 10:53;1,139;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;DAGANZO DE ARRIBA        ;28814;CALLE FRANKLIN, 1;N;22/07/2020 09:23;1,139;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
01/08/2020;MADRID;ALCALA DE HENARES        ;28805;VÍA VIA COMPLUTENSE ESQ. C/ AVILA, N;N;01/08/2020 20:45;1,144;GALP;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
