Provincia;Localidad;Codigo_postal;Direccion;Margen;Toma_de_datos;Precio;Rotulo;Tipo_venta;Rem;Horario;Tipo_servicio;Fecha_extraccion
MELILLA;MELILLA                  ;52006;CALLE ASTILLEROS, GENERAL, 99;I;27/07/2020 12:29;0,834;CEPSA;P;dm;L-S: 07:00-23:30;L-S: 07:00-23:30 (A);01/08/2020
SANTA CRUZ DE TENERIFE;EL ROSARIO;38190;CARRETERA CARRETERA GENERAL DEL SUR KM. 9,2;N;30/07/2020 15:00;0,839;DISA EL CHORRILLO;P;OM;L-D: 06:00-22:00;L-V: 06:00-17:00 (P), 17:00-22:00 (A) S-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SAN CRISTOBAL            ;38206;CAMINO DE LA VILLA, 175;I;27/07/2020 10:53;0,839;ES TAXLAGUNA ;P;dm;L-D: 06:30-22:00;;01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38204;PLAZA SAN CRISTOBAL, 9;N;29/07/2020 06:00;0,842;TGAS;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38203;GLORIETA DEL BRASIL, S/N;N;29/07/2020 15:45;0,842;DISA PADRE ANCHIETA;P;OM;L-D: 06:00-22:00;L-D: 06:00-10:00 (A), 10:00-18:00 (P), 18:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SAN CRISTOBAL            ;38205;AVENIDA CALVO SOTELO, S/N;N;29/07/2020 15:45;0,842;SHELL LA LAGUNA;P;OM;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;ROSARIO (EL)             ;38420;CARRETERA TF24 LA LAGUNA - EL PORTILLO KM. 5,5;D;29/07/2020 11:14;0,847;PCAN;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38206;CARRETERA TF-24 LA LAGUNA-EL PORTILLO KM. 2,2;I;29/07/2020 10:41;0,847;PCAN;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38410;CARRETERA GENERAL DE PALO BLANCO Nº 77 KM. 1;I;27/07/2020 01:36;0,848;CEPSA;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;CRUZ SANTA               ;38413;CALLE PIÑERA, SN;I;27/07/2020 11:45;0,850;REPSOL;P;dm;L: 06:00-00:00;L: 06:00-00:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38410;CARRETERA LOS REALEJOS-ICOD EL ALTO KM. 10;N;29/07/2020 10:41;0,850;PCAN LA AZADILLA;P;dm;L-V: 06:15-22:15 S: 06:45-22:15 D: 07:15-22:15;L-V: 06:15-22:15 (A) S: 06:45-22:15 (A) D: 07:15-22:15 (A);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38419;POLIGONO LA GAÑANIA, 6;D;27/07/2020 10:18;0,850;OCEANO LOS REALEJOS;P;dm;L-S: 06:00-22:00 D: 07:00-22:00;L-S: 06:00-22:00 (A) D: 07:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;CHAFIRAS (LAS)           ;38639;CARRETERA CARRETEA GENERAL A LAS GALLETAS-CHAFIRAS KM. S/N;I;30/07/2020 15:00;0,853;DISA LAS CHAFIRAS;P;OM;L-D: 24H;L-D: 00:00-06:00 (A), 06:00-22:00 (P), 22:00-23:59 (A);01/08/2020
SANTA CRUZ DE TENERIFE;GUAMASA                  ;38330;CALLE LAZARO LOPEZ, 6;I;29/07/2020 05:45;0,853;PCAN;P;dm;L: 06:00-23:00;L: 06:00-23:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;CHAFIRAS (LAS)           ;38639;AVENIDA MODESTO HERNANDEZ GONZALEZ, 7;D;29/07/2020 10:15;0,853;PCAN;P;dm;L-D: 24H;L-D: 00:00-06:00 (A), 06:00-22:00 (P), 22:00-23:59 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARONA;38627;AUTOPISTA TF-1 km 65,5;I;29/07/2020 15:45;0,854;SHELL ARONA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;CHAFIRAS (LAS)           ;38639;CARRETERA A LOS ABRIGOS KM. 4,5;D;28/07/2020 00:00;0,854;CEPSA;P;OM;L-S: 08:00-16:00;L-S: 08:00-16:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SAN CRISTOBAL            ;38295;CARRETERA GENERAL DEL NORTE KM. 13200;I;27/07/2020 00:00;0,859;REPSOL;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;VALLE DE GUERRA          ;38270;CARRETERA GENERAL KM. 194;D;27/07/2020 00:00;0,859;REPSOL;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;TACORONTE                ;38350;CARRETERA GENERAL DEL NORTE KM. 79;D;27/07/2020 12:00;0,859;TGAS TACORONTE;P;dm;L-D: 24H;L-D: 00:00-06:00 (A), 06:00-23:00 (P), 23:00-23:59 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARONA                    ;38640;CARRETERA GRAL TF-51(ARONA-VILAFLOR KM. 4;N;31/07/2020 11:13;0,859;TGAS ARONA;P;dm;L-S: 07:00-21:00 D: 07:00-14:00;L-S: 07:00-21:00 (P) D: 07:00-14:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;OROTAVA (LA)             ;38300;CARRETERA LAS CAÑADAS KM. 5;D;28/07/2020 19:11;0,859;CEPSA LA CAÑADA;P;dm;L-D: 06:00-00:00;L-D: 06:00-23:59 (P);01/08/2020
SANTA CRUZ DE TENERIFE;EL SAUZAL;38360;CARRETERA GRAL DEL NORTE KM. 20,400;N;29/07/2020 15:45;0,859;DISA EL SAUZAL;P;OM;L-D: 06:00-22:00;L-V: 06:00-22:00 (P) S-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;GUANCHA (LA)             ;38440;AVENIDA HIPOLITO SINFORIANO,8, 8;N;29/07/2020 10:40;0,860;PCAN;P;dm;L-V: 05:00-21:00 S: 06:00-21:00 D: 07:00-14:00;L-V: 05:00-21:00 (A) S: 06:00-21:00 (A) D: 07:00-14:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ICOD EL ALTO             ;38414;CARRETERA TF-342 LOS REALEJOS - LA GUANCHA KM. 15;D;27/07/2020 21:57;0,860;DISA;P;dm;L-S: 06:00-22:00 D: 08:00-20:00;L-S: 06:00-22:00 (A) D: 08:00-20:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARICO NUEVO;38589;CARRETERA TF-822 KM. 50;N;31/07/2020 17:14;0,866;DISA;P;dm;L-V: 06:00-22:00 S-D: 07:00-20:00;L-V: 06:00-22:00 (A) S-D: 07:00-20:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;FASNIA                   ;38570;CARRETERA LOS ROQUES KM. 6,5;D;31/07/2020 17:13;0,866;DISA;P;dm;L-S: 06:00-22:00 D: 07:00-14:00;L-S: 06:00-22:00 (A) D: 07:00-14:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;OROTAVA (LA)             ;38300;CARRETERA TF-21 AGUAMANSA KM. ;I;27/07/2020 16:35;0,867;REPSOL BARROSO;P;dm;L-V: 07:00-20:00 S-D: 08:00-15:00;L-V: 07:00-20:00 (A) S-D: 08:00-15:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA URSULA             ;38390;CARRETERA VIEJA KM. 213;I;31/07/2020 00:00;0,867;REPSOL;P;dm;L-S: 06:00-23:00 D: 07:00-23:00;L-S: 06:00-23:00 (P) D: 07:00-23:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;GUIA                     ;38370;CR  GENERAL DEL NORTE, 272;D;27/07/2020 13:22;0,867;SHELL ACENTEJO;P;dm;L-S: 06:00-22:00 D: 07:00-21:00;;01/08/2020
SANTA CRUZ DE TENERIFE;MATANZA DE ACENTEJO (LA) ;38370;CARRETERA GENERAL DEL NORTE C-820 KM. 24,000;N;29/07/2020 15:45;0,867;DISA LA MATANZA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA URSULA             ;38390;CARRETERA GENERAL DEL NORTE KM. 31;N;31/07/2020 15:30;0,867;SHELL SANTA URSULA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;VICTORIA DE ACENTEJO (LA);38380;CARRETERA CTRA. GRAL. DEL  NORTE KM. 27;I;29/07/2020 15:45;0,867;SHELL LA VICTORIA;P;OM;L-D: 06:00-22:00;L-S: 06:00-22:00 (P) D: 06:00-22:00 (A);01/08/2020
PALMAS (LAS);AGUIMES;35117;CALLE LAS ADELFAS, ESQUINA LOS OLIVOS, 8;D;27/07/2020 09:21;0,868;CANARY OIL;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
PALMAS (LAS);GALDAR                   ;35460;CARRETERA PLG. IND. SAN ISIDRO EL VIEJO 36, PARCELA 78 KM. 28;D;27/07/2020 09:23;0,868;CANARY OIL, S.L.;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA      ;38600;SAN ISIDRO-EL MEDANO km 9.6;D;28/07/2020 00:00;0,869;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38108;AVENIDA PASO EL (LOS MAJUELOS), 108;N;28/07/2020 10:18;0,869;CEPSA LOS ANDENES;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;VALLE DE SAN LORENZO     ;38626;CARRETERA CARRETERA  GENERAL KM. 136;D;29/07/2020 00:00;0,869;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;GENETO                   ;38296;CAMINO SAN MIGUEL DE GENETO, 148;D;01/08/2020 00:00;0,869;REPSOL;P;OM;L: 24H;L: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;TACO                     ;38108;CALLE LIBERTAD, S/N;D;01/08/2020 00:00;0,869;REPSOL;P;OM;L-D: 24H;L-V: 00:00-09:00 (A), 09:00-14:00 (P), 14:00-16:00 (A), 16:00-19:00 (P), 19:00-23:59 (A) S-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38108;POL. IND. LOS MAJUELOS km CENTRO COMERCIAL M;N;30/07/2020 15:00;0,869;DISA LAS CHUMBERAS;P;OM;L-S: 06:00-22:00 D: 08:00-21:00;L-S: 06:00-22:00 (A) D: 08:00-21:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;OROTAVA (LA)             ;38300;PLAZA LA PAZ, S/N;N;28/07/2020 00:00;0,869;DISA;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;ESCOBONAL (EL)           ;38591;AVENIDA AXAENTEMIR, S/N;N;28/07/2020 00:01;0,869;EL ESCOBONAL;P;dm;L-S: 07:00-21:00 D: 08:00-14:00;L-S: 07:00-21:00 (A) D: 08:00-14:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE   ;38108;CARRETERA CARRETERA GENERAL DEL SUR KM. 6,200;N;29/07/2020 15:45;0,869;DISA TACO;P;OM;L-S: 06:30-22:30 D: 08:00-22:00;L-S: 06:30-22:30 (A) D: 08:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ROSARIO (EL)             ;38420;C/ LA CAMPANA, S/N (CTRA. GRAL. DEL SUR km 4);N;30/07/2020 06:00;0,869;CEPSA;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARONA                    ;38649;CARRETERA CARRETERA GENERAL GUAZA LOS CRISTIANOS KM. 1;D;30/07/2020 08:58;0,869;CEPSA LLANO AZUL;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;CAMELLA(LA)              ;38627;CARRETERA CTRA. GENERAL VALLE SAN LORENZO KM. 98,86;N;28/07/2020 10:28;0,869;DISA;P;dm;L-S: 07:00-22:00 D: 07:00-14:00;L-S: 07:00-22:00 (A) D: 07:00-14:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE   ;38108;CARRETERA LOS MAJUELOS - SOBRADILLO KM. S/N;N;29/07/2020 15:45;0,869;DISA EL SOBRADILLO;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;FASNIA                   ;38570;AUTOVIA TF-1 KM. 34;D;28/07/2020 00:00;0,869;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARONA                    ;38640;CARRETERA TF-28 KM. 92;D;28/07/2020 00:00;0,869;CEPSA;P;OM;L-S: 08:00-16:00;L-S: 08:00-16:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTO DOMINGO            ;38437;AVENIDA OCHO DE AGOSTO, 37;I;27/07/2020 11:50;0,869;DISA           STO DOMINGO;P;dm;L-V: 07:00-20:00 S: 08:00-20:00 D: 08:00-14:00;L-V: 07:00-20:00 (A) S: 08:00-20:00 (A) D: 08:00-14:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE   ;38108;CARRETERA ROSARIO (DEL) KM. 186;D;28/07/2020 00:00;0,869;CEPSA;P;OM;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE   ;38009;CARRETERA DEL ROSARIO KM. 3;N;29/07/2020 15:45;0,872;E.S.SHELL OFRA;P;OM;L-D: 06:00-22:00;L-D: 06:00-09:00 (A), 09:00-17:00 (P), 17:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;BALDIOS, LOS             ;38291;CARRETERA TF-265 KM. 2;D;29/07/2020 00:00;0,873;TGAS LO BALDIOS;P;dm;L-S: 06:00-22:00 D: 07:00-22:00;L-S: 06:00-22:00 (A) D: 07:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;TACORONTE                ;38350;CALLE CAMINO REAL, 163;N;28/07/2020 23:01;0,874;CEPSA AGUA GARCIA;P;dm;L-S: 06:00-23:00 D: 08:00-22:00;L-S: 06:00-23:00 (P) D: 08:00-22:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;ADEJE                    ;38670;AUTOPISTA TF1 AUTOPISTA SUR A ARMEÑIME, CRUCE LA CALETA KM. S/N;N;29/07/2020 00:00;0,874;TGAS-TU TREBOL;P;dm;L-D: 08:00-21:00;L-D: 08:00-21:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;TACORONTE                ;38350;AUTOPISTA AUTOPISTA EL TORREON KM. 11,00;D;20/07/2020 12:41;0,874;BP;P;dm;L-S: 06:00-00:00 D: 08:00-14:00;L-S: 06:00-00:00 (A) D: 08:00-14:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;EL SAUZAL;38360;CARRETERA GENERAL DEL NORTE KM. 20,65;N;27/07/2020 00:01;0,874;BP;P;dm;L-S: 06:00-23:00 D: 07:00-22:00;L-S: 06:00-23:00 (A) D: 07:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38203;CR AUTOPISTA DEL NORTE, KM. 10,2;I;27/07/2020 10:23;0,874;BP SAN BENITO;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;CHAFIRAS (LAS)           ;38639;AVENIDA EUGENIO DOMINGUEZ SIERRA, 48;D;27/07/2020 12:00;0,874;ESTACION DE SERVICIO EL GOMERO;P;dm;L-D: 24H;L-D: 24H (P);01/08/2020
SANTA CRUZ DE TENERIFE;PALO BLANCO-LLANADAS     ;38415;CARRETERA TF-326 KM. 4,159;D;31/07/2020 00:00;0,875;REPSOL;P;dm;L-D: 06:30-00:00;L-D: 06:30-00:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;VALLE DE GUERRA          ;38270;CARRETERA TF-16 KM. 4,4;I;27/07/2020 12:55;0,875;REPSOL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;LA LAGUNA;38108;AVENIDA LOS MAJUELOS, 26;N;30/07/2020 15:00;0,875;DISA LOS MAJUELOS;P;OM;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;CHAFIRAS (LAS)           ;38639;AVENIDA LUCIO DIAZ FLORES FEO, MZ 27, FINCA 11B, S7N;N;27/07/2020 10:25;0,875;OCEANO;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;ALCALA                   ;38686;CARRETERA TF47 ARMEÑIME-PUERTO SANTIAGO KM. 15;I;29/07/2020 11:12;0,877;PCAN;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38410;CARRETERA CRT GRAL ICOD-S/C.PK 38.8 KM. 38,8;D;28/07/2020 23:00;0,877;TGAS LA GORVORANA;P;dm;L-D: 06:00-23:00;L-D: 06:00-07:00 (A), 07:00-23:00 (P);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38410;CARRETERA EL TOSCAL KM. S/N;N;29/07/2020 12:54;0,877;SHELL LAS DEHESAS;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;PUERTO DE LA CRUZ        ;38400;CALLE CARRETERA DEL BOTANICO, 24;N;27/07/2020 22:01;0,879;CEPSA PUERTO DE LA CRUZ;P;dm;L-D: 24H;L-D: 24H (P);01/08/2020
SANTA CRUZ DE TENERIFE;EL SAUZAL;38360;CR TF-172, 0,9;D;27/07/2020 22:41;0,879;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ZOCAS (LAS)              ;38628;CARRETERA TF-65 KM. 3,9;I;27/07/2020 16:02;0,879;REPSOL;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SAN ISIDRO               ;38611;CARRETERA TF-1 KM. 54;D;27/07/2020 16:00;0,879;REPSOL;P;dm;L-D: 06:00-00:00;L-D: 06:00-00:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;PERDOMA (LA)             ;38315;CARRETERA TF-324 KM. 2;D;01/08/2020 00:00;0,879;REPSOL;P;OM;L-V: 06:00-22:00 S-D: 07:00-23:00;L-V: 06:00-22:00 (A) S-D: 07:00-23:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SAN ISIDRO               ;38611;CARRETERA TF-1 KM. 54;I;27/07/2020 15:59;0,879;REPSOL;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;FASNIA                   ;38570;AUTOVIA TF-1 KM. 36,5;I;01/08/2020 00:00;0,879;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;MEDANO (EL)              ;38612;CARRETERA TF64 GRANADILLA - EL MEDANO KM. 7,7;I;27/07/2020 12:28;0,879;TGAS EL MEDANO;P;dm;L-D: 24H;L-D: 00:00-06:00 (A), 06:00-22:00 (P), 22:00-23:59 (A);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38410;CALLE LOS BARROS, 33;D;30/07/2020 15:00;0,879;DISA LOS BARROS;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARICO;38260;AUTOPISTA AUTOPISTA TENERIFE SUR KM. 44,2;D;29/07/2020 16:29;0,879;PCAN;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA      ;38600;CARRETERA GRANADILLA MEDANO KM. 2,25;I;27/07/2020 07:00;0,879;CEPSA LOS LLANOS - GRANADILLA;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARONA                    ;38640;CRTRA. VALLE SAN LORENZO - LAS GALLETAS km 11,1;D;29/07/2020 00:00;0,879;TGAS LAS GALLETAS;P;dm;L-D: 24H;L-D: 00:00-06:00 (A), 06:00-22:00 (P), 22:00-23:59 (A);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38410;CARRETERA CRA.GRAL.LA ZAMORA 22 KM. 3,100;N;29/07/2020 15:45;0,879;SHELL LOS REALEJOS;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;ARONA;38627;AUTOPISTA AUTOPISTA DEL SUR, PF 70,5 MARG. IZQ. KM. 70,5;I;01/08/2020 00:00;0,879;REPSOL;P;OM;L-D: 24H;L-D: 00:00-12:00 (A), 12:00-20:00 (P), 20:00-23:59 (A);01/08/2020
SANTA CRUZ DE TENERIFE;OROTAVA (LA);38315;CARRETERA GENERAL DEL NORTE, 173 KM. 173;D;29/07/2020 15:45;0,879;SHELL LA PERDOMA;P;OM;L-D: 06:00-22:00;L-S: 06:00-22:00 (P) D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;SAN ISIDRO               ;38611;AVENIDA SANTA CRUZ, SN;D;27/07/2020 13:14;0,879;DISA SAN ISIDRO;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;SAN MIGUEL               ;38620;CARRETERA GENERAL DEL SUR KM. 80,8;I;29/07/2020 15:45;0,879;DISA SAN MIGUEL;P;OM;L-D: 06:00-22:00;L-V: 06:00-10:00 (A), 10:00-18:00 (P), 18:00-22:00 (A) S-D: 06:00-22:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA      ;38600;AVENIDA FUNDADOR GONZALO GONZALEZ, S/N;N;29/07/2020 15:24;0,879;DISA;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A);01/08/2020
SANTA CRUZ DE TENERIFE;COSTA DEL SILENCIO       ;38630;CARRERA GENERAL LAS GALLETAS Nº2 KM4, 2;N;01/08/2020 00:36;0,879;CEPSA COSTA DEL SILENCIO;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;REALEJOS (LOS)           ;38410;CALLE LOS BARROS, 30;N;29/07/2020 16:09;0,879;PCAN;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
SANTA CRUZ DE TENERIFE;PORIS DE ABONA           ;38588;AUTOVIA TF-1 KM. 39;I;27/07/2020 15:58;0,879;REPSOL;P;dm;L-D: 24H;L-D: 24H (A);01/08/2020
